"","ORIGEN","AÑO_N","MES_N","AÑO","TRIMESTRES","TOTAL_KILOS_BRUTOS","TOTAL_KILOS_NETOS","I_DOLARES","I_PESOS"
"120","19",2005,5,5,2,15744418.73104,15589516.8041191,17094532.1300306,40013640520.5723
"121","20",2005,5,5,2,2425619372.03,2425615139.7,112374485.875938,262452764969
"122","23",2005,5,5,2,8984599.04663086,8970907.81323242,46749811.4432373,109423265108.125
"123","25",2005,5,5,2,161887680.310928,157464120.675825,177034014.893404,414151108420.089
"124","41",2005,5,5,2,2628794.70020294,2610162.70019531,5648926.39526367,13205947325.7266
"125","44",2005,5,5,2,2211347111.00006,2211346658.5,99467844.375,232857204388.188
"126","47",2005,5,5,2,82859931.1162109,78696559.9648438,32912228.4019775,76953218154.2539
"127","50",2005,5,5,2,19431.0799980164,14233.3399047852,309073.278533936,722974904.78125
"128","52",2005,5,5,2,11372121.2399932,11355213.4902735,6286412.22119141,14685439714.77
"129","54",2005,5,5,2,111256560.766789,111067486.351434,9532618.95661497,22303603938.6721
"130","63",2005,5,5,2,3066761.33426315,3034505.75951722,9377695.57119077,21927576288.9438
"131","66",2005,5,5,2,17600368.7069074,17213044.9746682,34319961.1639008,80249127260.4998
"132","68",2005,5,5,2,6010441.84589886,5913029.2117848,19035614.4999422,44562605648.7299
"133","70",2005,5,5,2,32382610,32303567.6875,4221223.47119141,9865206024.75
"134","73",2005,5,5,2,5563869.2119112,5497910.18958887,16139795.1576653,37779726830.9043
"135","76",2005,5,5,2,186584343.165511,182597866.25127,142355107.432061,332817361192.085
"136","81",2005,5,5,2,500488.219999313,500471.050000191,855616.41015625,2002771808.25
"137","85",2005,5,5,2,22362.0999999046,21711.9099999666,66848.677734375,156618260
"138","88",2005,5,5,2,11016.5500000119,8616.24997070245,156671.24609375,365935744.375
"139","91",2005,5,5,2,10367.16015625,9337.84985351562,47652.6995849609,111709028.375
"140","05",2005,6,5,2,199573515.523767,185087942.186548,287842522.626549,671639574218.844
"141","08",2005,6,5,2,89650831.861418,88316043.4525323,61206646.4614498,142729321007.485
"142","11",2005,6,5,2,39049658.8244898,37026017.0839693,157028863.213968,365964104690.169
"143","13",2005,6,5,2,159621216.512095,158012223.248345,89536474.0707461,208606757117.705
"144","15",2005,6,5,2,1287176.49005228,1274526.86987775,4863777.08044434,11330568518.207
"145","17",2005,6,5,2,18140282.1038055,16886481.696555,41550421.741137,96854739839.0109
"146","19",2005,6,5,2,30064695.4962463,29876029.0570984,17097983.6404419,39834183379.1582
"147","20",2005,6,5,2,2766054346.37988,2766053930.53003,140952217.191406,328731508583
"148","23",2005,6,5,2,15186891.9999981,15175955.9999981,91806377.8554688,214109842582.832
"149","25",2005,6,5,2,163127729.830337,158487853.898386,173800750.936488,405556210963.049
"150","41",2005,6,5,2,4177738.06018066,4149777.41986561,10938578.4050522,25489649270.1641
"151","44",2005,6,5,2,5430448650.04,5430448562.11,247393618.379999,578228301628.773
"152","47",2005,6,5,2,45504270.5836719,43501057.8276807,18951934.7769852,44175486197.5273
"153","50",2005,6,5,2,5853.63996887207,2623.54000854492,306364.12902832,713669058.03125
"154","52",2005,6,5,2,8080326.64012527,8052080.74071121,7759804.12145996,18121705533
"155","54",2005,6,5,2,138637549.368236,138478469.461808,11618127.029397,27127084694.1143
"156","63",2005,6,5,2,3642275.86273861,3601111.38068008,10675931.4506226,24887783962.0237
"157","66",2005,6,5,2,15702451.1576644,15329544.9488284,30867803.7582029,71889094224.8356
"158","68",2005,6,5,2,6802479.23697393,6706753.29823145,26394538.3678164,61551670506.6245
"159","70",2005,6,5,2,29540110.1093073,29437261.743866,2778940.06970215,6485666851.97485
"160","73",2005,6,5,2,5248755.56344736,5199379.0196318,14259257.5090599,33224148891.5938
"161","76",2005,6,5,2,187896457.928004,183828384.648521,154753822.159234,360702433869.167
"162","81",2005,6,5,2,1020006.76999998,1020005.75,1864234.53999329,4352950529.625
"163","85",2005,6,5,2,324.21000289917,308.449999809265,7070.93992996216,16413469.921875
"164","88",2005,6,5,2,400,260,2558.10009765625,5940036
"165","91",2005,6,5,2,2322.90002441406,2247.59997558594,8817.39990234375,20531864
"166","97",2005,6,5,2,30.9499998092651,26.1999998092651,15544,36312943.25
"167","05",2005,7,5,3,235565308.166191,218187830.017332,242520047.094417,563584727728.338
"168","08",2005,7,5,3,118156806.287969,116426358.388512,64318593.1857965,149362215132.257
"169","11",2005,7,5,3,38004670.9801407,36042733.2331954,157857079.016637,366643296169.033
"170","13",2005,7,5,3,137196232.947651,134055373.994568,84961522.5377808,197417277872.961
"171","15",2005,7,5,3,16915991.8399871,16891198.9499884,9073216.42236328,21052617841.4961
"172","17",2005,7,5,3,17076455.8893099,16122823.9353838,37197038.5604685,86414560351.5189
"173","19",2005,7,5,3,18771732.4810009,18642163.5257492,12622961.4996185,29348603852.0469
